Buddhist monk's robe	jia-; sha-
noble steed	a\o
not go beyond one's bounds	a-nfe\n
now and then	yo\/ushi/
octopus	ba-da\iyu/
one	yi-; <alternate form of  yi-; <third, quarter, percent, etc. zhi-yi-
or	ha/ishi\; huo\zhe\/; ya\obu; bu\lu\n
outmoded	bu\xi-ng
palate	e\
past events	wa\/ngshi\
penalty shot	fa/qiu/
perverse	be\i; bi\
place of concourse	so\/u
poetic essay	fu\
postcard	mi/ngxi\npia\n
president	<college, university xia\ozha\/ng; zo\/nghui\hui\zha\/ng; <of a country zo\/ngto\/ng; <of a university, etc. yua\nzha\/ng
products	zhi\pi\/n; cha\/n
provocation	chu\nu\
put it simply	jia\/nda-ndeshuo-
rainbow	ho/ng; jia\ng; ni/
rear	ho\umian; bu\/ya\/ng; ya\/ngyu\; yu\; to rear: hua\n; ju-; si\; si\ya\/ng; yu\
refuse	ju\jue/; ju\; <responsibility tui-
render service to repay kindness	ba\oxia\o
resplendent	ca\n
right	qua/nli\; bu\cuo\; ra/n; we\/i; <-hand yo\u; <as opposed to left yo\ubia-n
round basket of bamboo	gui\/
safe and sound	a-nha\/o
scenery	fe-ngji\/ng; ji\/ngse\
secret agent	a\nta/n
send troops	chu-bi-ng
sexual relations	xi\nggua-nxi
short note	tia/ozi; zha/
silk	<light cho/u; bo/; si-
slate	ba\/nya/n
snake	she/
sore	chua-ng; da/
specific meaning	te\di\ngha/nyi\
squander	da\ng; to squander: la\ngfe\i; ha\ofe\i; ha\o
state-owned	guo/yo\/u
stock market	gu\/pia\oshi\cha\/ng; gu\/shi\
strong	cho\ng; ho-ngho-nglie\lie\; jia-n; qia/ngyo\/uli\; yi\; gu\; jia-n; jia-nqia/ng; jia\nqua/n; zhua\ng; ga-ng; qia/n; qia-ng; qiu/; xia-o; yi\ng; qia/ngda\; ba\ng; zhua\ng; <of liquor, medicine, etc ba\da\o; <violently qia/nglie\; <as of wine ku\; <of tea ya\n
sugar	<refined whute ba/ita/ng; ta/ng
suspect	<criminal she\xia/nre/n; ca-ixia\/ng; to suspect: hua/iyi/
take a sponge bath	ca-za\/o
tarnish	wu-mie\
tenant	fa/ngke\
thick but loosely woven silk	jua\n
tick	bu\shi-; <tock di-dashe-ng
tooth	chi\/; ya/
transition	guo\du\; guo\du\shi/qi-
trowel	ma\n
typo	<in Chinese text cuo\zi\
unforgettable	na/nwa\ng
upgrade	ti/she-ng
various regions	ge\di\
villager	cu-nmi/n
walking plow	bu\li/
wedding contract	hu-nyue-
white face	ba/ilia\/n
wire drawing	ba/si-
world's largest	shi\jie\zui\da\
young fellow	xia\/ohuo\/zi
Book of Esmther	yi\/si-tie\/ji\
Defense Minister	guo/fa/ngbu\zha\/ng
Japanese language	ri\we/n; ri\yu\/
Portuguese	<person pu/ta/oya/re/n
Window on Sports	ti\/yu\zhi-chua-ng
according to statistics	ju\to\/ngji\
adultery	jia-n; jia-nyi/n
albumen	da\nba/i
among	da-ngzho-ng; qi/zho-ng
anus	ga-ng
armadillo	qiu/; yu/
assembly	ji/hui\; bu\jia\n
audio tape	lu\yi-nda\i
bamboo flute with 8 holes	chi/
be a mass of bruises	bia\nti\/li/nsha-ng
be in debt	be-izha\i
be the very image of	bi-xia\o; bi\xia\o
beginning of a decade	nia/nda\ichu-
birdcage	nia\/olo/ng
bold and unrestrained	be-nfa\ng
branch in a road	cha\
brood	ba\owo-
buzzing	za\o
cannot go so far	bu\zhi\yu/
castor-oil plant	bi\ma/; the castor-oil plant: bi\
change	bia\ndo\ng; bia\nge-ng; bia\nhua\; hua\n; zhua\/nbia\n; to change: bia\n; ga\/i; ga\/ibia\n; ga\/iza\o; ge-ng; <said of money li/ngqia/n
choke with resentment	bie-qi\
clergy	jia\oshi\
collate	ka-n
communications automation	to-ngxu\nzi\do\nghua\
conception	xia\/ngxia\ngli\
construct	jia\nza\o; to construct: go\u; jia\nshe\; xiu-jia\n
copper-nickel alloy	ba/ito/ng
crafty	jia\/o; jia\/ohua/; kua\i; zha\; gui\/; xia/; gui\/
cuddle	we-i
danger	we-i; we-ixia\/n; hua\n; <ous xia\/n
decline a gift with thanks	bi\xie\; bi\hua/n
depart from Beijing	li/ka-ibe\/iji-ng
dial	<a telephone bo-ha\o
disaster caused by hail	ba/oza-i
disturb	da\/ra\/o; ra\/o; sa-o; to disturb: jia\/o; jia\/ora\/o
downy	mia/n
during transmission	za\ichua/nshu-guo\che/ngzho-ng
educational institute	xue/yua\n
embrace	<within someone's hua/iba\o; ba-oluo/; to embrace: yo-ngba\o; lo\/u; lo\/uba\o; ya\/n
entangle	jiu-
even more	ge\ng; ge\ngduo-; ge\ngjia-; yu\jia-
exorcise demons	nuo/
factor	yi-nzi\/; ya\osu\; yi-nsu\; tia/ojia\n
fax	chua/nzhe-n
fierce-looking	ni/ng
fireside	lu/bia-n
floptical drive	gua-ngci/die/ji-
for the benefit of	ge\/i
four-year university	si\nia/nzhi\deda\xue/
fullfill	da\/o
general headquarters	zo\/ngbu\
give directions	zhi\/da\/o
go to bed	a-nxie-; to go to bed: shui\jia\o
grapsus sp.	pe/ng
guarantor	ba\/ozhe\ngre/n; ba\/ozhe\ngre/n
harbour malicious intentions	bu\hua/iha\/oyi\
hay	ga-nca\/o; chu/
hesitate	chu/; ju-; cho/u; to hesitate: chi/yi/
hold one's breath	bi\/ngqi\; bi\/ngxi-
housekeeper	nugua\/njia-; ba\/omu\/
icicle	bi-ngzhu\
imprison	jia-nji\n; xia\yu\; yu\/
in this time	za\izhe\qi-jia-n
industrialized country	go-ngye\hua\guo/jia-
insect	cha\i; cho/ng; ku-ncho/ng
intersect	jia-ocha-; cha-; to intersect: <lines jia-o
it is reported	<that ju\xi-
just middling	bu\guo\e\/re\/r
knowledge-related	zhi-shi
last time	sha\ngci\
leave out	she\/ng
lifeless	wu/she-ngmi\ng
living	huo/
loosen	fa\ngso-ng; sa\/n; chi/; to loosen: jie\/
madman	kua/ngre/n
make friends	jia-o
manufacturing equipment	she-ngcha\/nshe\be\i
meanwhile	yu\/ci\/to/ngshi/
metamorphism	bia\nzhi\
mischievous	wa/n; e\zuo\ju\
moor a boat to the bank	yi\/
mull over	<an issue yu\nnia\ng
national defence	guo/fa/ng
network station	wa\/ngzha\n
non-participant	pa/nggua-n
not make sense	bu\to-ng
nuclear weapon	he/wu\/qi\
offer birthday felicitations	ba\isho\u
one third	sa-nfe-nzhi-yi-
orderly	chu\/
over	za\izhi-sha\ng; yi\/sha\ng
pansy	sa-nse\zi\/luo/la/n
patient's condition	bi\ngkua\ng; bi\ngqi/ng; bi\ngshi\
people's tribunal	re/nmi/nfa\/yua\n
philosophy	zhe/; zhe/xue/
planer	ba\ochua/ng
policeman	ji\/ngcha/
pour into	zhu\
presume to	bu\chua\/ima\ome\i
projection	to/ushe\
public switched telephone network	go-nggo\ngjia-ohua\ndia\nhua\wa\/nglu\; go-ngyo\ngjia-ohua\ndia\nhua\wa\/ng
quadruped	sho\u
random	sui/ji-; re\nyi\
receive favors	mu\; zha-n
registers	bu\ji/
repeatedly	bu/zhu\; fa\/nfu\; luci\; pi/npi/n; qi\; yi-za\i; <in giving advice zhu-n
restrict	yue-shu\; shu\fu\; du\; to restrict: zhi\yue-; yi\; xia\nzhi\; yue-
ripe	che/ngshu/
rubber	xia\ngjia-o
saltpeter	xia-o
schoolwork	ke\ye\
security guard	ji\/ngwe\i
separated from	kui/
shamelessly	xia/n
should	yi-ngda-ng; yi/; yi-ngga-i; ga-i; bu\zu/; da-ng
simply put	jia\/nda-ndeshuo-
sliced meat	lua/n
so as not to	yi\/mia\/n
sound of waves	pa\i; pe/ng
spell	pi-n; du\n; zhe\n
staff gauge	bia-ochi\
stay away from trouble	bi\fe-ng
stop over	ti/ngliu/
study of medicine	yi-xue/
summer vacation	shu\/jia\
sweep through Asia	xi/jua\/nya\zho-u
take hold of	ba\/
tea plant	cha/
terms	<of an agreement gui-yue-
think that	ga\/nda\o
till	ge-ngzho\ng; ge-ng
tortoise shell	da\i
transport by water	ca/o
try to convince	qua\nda\/o
unambiguous	bu\ha/nhu-
united countries	me/ngguo/
upside	sha\ngbian
velvet	ro/ng; si-ro/ng
virtual circuit	xu-ndia\nlu\
wardrobe	chu/; yi-chu/; gui\; gui\
welfare	<material fu/li\
whole of	bi\
with your presence	bi\li/n
would rather	ni\ngyua\n; <agree to X than Y qi/ngyua\n
zedoary	e/
British people	yi-ngguo/re/n
FAT	da\nga\nfe-npe\iqu-
Lantern Festival	<15th of first month of lunar calendar de-ngjie/
Sanskrit	fa\nyu\/; fa\n
abdicate	sha\n; tui\we\i; ra\ngwe\i
acid	sua-n
advisory	zi-xu/n
all obedience	ba\/iyi-ba\/ishu\n
ancestral hall	ci/; tia-o
apostle	shi\/tu/
arouse	hua\nxi\/ng; ji-qi\/; so\/ng; to arouse: ji-; ji-fa-
assume great airs	ba\/ijia\zi\/
autonomous system	zi\zhu\/xi\to\/ng
bank of a river	hu\/
be at the helm	ba\/duo\
be injured	sho\uha\i; sho\usha-ngha\i
be unrefined	bu\de-ngda\ya\/zhi-ta/ng
beloved	xi-na\i
black horse with white mane	luo\
books	<in a library or bookstore tu/shu-
break down	kui\; to break down: sui\
buck	xio/nglu\
cabinet	<government ne\ige/; du/; xia\/oxi/nggui\chu/; gui\; gui\; chu/
caps lock	da\xie\/suo\/di\ng
caterpillar	ma/ocho/ng
character	we/nzi\; zi\; xi\ngge/; de/
church member	jia\oyo\/u
clog	zu\/se\
colored glaze	li/
comparable	ke\/bi\/
confer	ba-nge\/i; ci\; sha-ngta/n; to confer: fe-ng
contempt	qi-ngshi\
correct an error	jiu-pia-n
create an issue	za\oche/ngwe\nti/
curious	ha\oqi/; yo\/uha\oqi/xi-n
data	ji-zhu\/n; shu\ju\; zi-lia\o; ca/ilia\o
deep space	<outer space she-nko-ng
deprive of	chi\/
die stamping	a-otu-yi\nshua-
discussion	yi\lu\n
divulge	xie\; to divulge: to\ulu\; lo\u
draw up	bia-nza\o; to draw up: zhi\di\ng; di\ng; <plans qi\/ca\/o
dysentery	li\
eight hour working day	ba-xia\/oshi\go-ngzuo-zhi\
employ	gu\yo-ng; to employ: ca\/iyo\ng; shi\/yo\ng
entrance	da\me/n; ru\ko\/u
everyday	ji-ngcha/ng
expert	ca/i; zhua-njia-; fe-nxi-re/nshi\; <in a field zhua-nye\re/nca/i
fairly	bi\/jia\o
feed a horse with grain	mo\
figure viewed from behind	be\iyi\/ng
first time	di\yi-ci\; yi-ci\; <smth is done di\yi-li\
fluctuate	bia\nhua\n; bo-do\ng
ford	<a stream, river she\guo\
frame relay forum	xu\nkua\ngchua/nso\nglu\nta/n
furnace	ro/ngkua\nglu/
gently caress and stroke	fu\/mo-
given	yi-di\ng
gold inlaid work	dia\n; tia/n
great	ho/ng; jie\; ju\; we\/ida\; za\ng; zho\/ng; zho\ngda\; ho/ng; ju-n; hui-; we\/i; fe-ng; huo\/; da\; <quantity he\/nduo-
gun barrel	qia-nggua\/n
hark	qi-ngti-ng
hear said	ti-ngshuo-guo
high and mighty	<of mountain kui-
home state or region	la\/ojia-
hull	da\/o
ignore the general interest	bu\shi/da\ti\/
in advance	shi\xia-n
incalculable	bu\ke\/gu-lia\ng; bu\zi-
inference	lu\ndua\n
instantly	ji/ke\
intruder	qi-nru\zhe\/
itinerary	ri\che/ng
keep in good repair	ba\/oya\/ng; ba\/oqua/n
lad	xia\/ohuo\/zi
latter part	mo\
legend	chua/nshuo-
lighter	bo/chua/n; bo/yu\n
lock	zhua\ngsuo\/; liu\/; to lock: suo\/
lotus blossom	ha\n
maid escorting bride to new home	yi\ng
make or cause to be	li\ng
maritime	ha\/isha\ng
medical expert	yi-xue/zhua-njia-
middle third of a month	zho-ngxu/n
misunderstand	wu\hui\
morph	bia\nxi/ng
multistation address	duo-zha\ndi\zhi\/
natural selection	ta/ota\i
news media	xi-nwe/nme/iti\/
north and south	na/nbe\/i
not see	bu\jia\n
nurture	bu\/yu\
oh!	a\
only	bu\guo\; we/iyi-; zhi\/; zhi\/yo\/u; <then ca/i; <this and nothing more ji\/nji\/n
original idea	be\/nyi\
overlook	fu\/shi\; to overlook: li/n; wa\ng
paramount	zhi\ga-o
pay a visit to someone's house	de-ngme/n
perform or have an operation	ka-ida-o
pick up with a utensil	che/ng
platform balance	ba-ngche\ng
political views	zhe\ngjia\n
prairie	da\ca\/oyua/n
priceless	wu/jia\
prop-up	che-ng
pulp	guo\/ro\u
quest	ta\nsuo\/
rascal	xia\/ota/oqi\
recoil	ho\utui\
reiterate	cho/ngshe-n
reportedly	ju\shuo-
retroflex final	e/rhua\yu\n
riveting	ma\/o
ruling party	zhi/zhe\ngda\/ng
sandstone	sha-ya/n; li\
scour	ca-xi\/
seems not	ji-hu-bu\
serve	shi\ho\u; to serve: fu/wu\
sheath around joints of bamboo	tuo\
shred	sui\bu\tia/o
singlemode	da-nmo/
sluggish	zhi\; chi/hua\/n; hua\/n
sodium	na\
souvenir	bia\/oji\
spire	jia-nta\/
stallion	zhi\
steep	do\/u; ju\n; o\u; to steep: pa\o; <tea qi-
strain liquids	lu\; lu\
submerge	che/n; qiu/; to submerge: qia/n
superfluous	duo-yu/; zhui\
swine	zhi\; shi\/
take part	ca-njia-
tear up	<a contract, etc si-hui\/
thallium	ta-
this moment	ci\/shi/
tint	se\ca\/i
towards	be\n; cha/o; cho\ng
treasured object	ba\/obe\i
turbid	du\n
uncomfortable	bu\shu-shi\
unmarried	we\ihu-n
use in	yo\ngyu/
verse	yu\nwe/n; shi-
vital	ya\o; yo\/uhuo/li\
wasteful	chi\/
what a pity	ke\/xi-
widower	gua-n
witness	jia\nzhe\ng; jia\nzhe\ngre/n; zhe\ngren
write a footnote	zhi\; zhi\
AIDS antibody	a-izi-bi\ngka\ngti\/
Cape Canaveral	ka\/na\we/ila-e\/rjia\/o
Germany	de/; de/guo/
Messiah	mi/sa\iya\/
Southeast Asia	do-ngna/nya\; do-ngna/nya\guo/
abort	tui\chu-; she\/qi\
act recklessly	bu\zhi-si\huo/
aftershocks	<earthquake yu/zhe\n
alligator	e\yu/; e\
angel	tia-nshi\/; qi/
application layer	yi\ngyo\ngce/ng
artery	do\ngma\i
at dusk	ba\ngwa\/n
award a prize	sho\ujia\/ng
barge	bo/chua/n; ge\/; yo/uti\/ng
be confronted with	mia\nli/n
be nothing difficult	bu\za\ihua\xia\
beans	huo\
besiege	we/igo-ng
blaze	hui\/; huo\/ya/n; chi\
born deaf	kui\
breath	bi/xi-; qi\xi-
bullet	zi\/da\n; da\n
calico	ba/ibu\
card	<business mi/ngpia\n; jia\/n; ka\/pia\n
cease fire agreement	ti/nghuo\/xie/yi\
cheap	di-lia/n
cirsium	ji\
closet	bi\chu/
come out one after the other	ce/ngchu-bu\qio/ng
compilation	hui\bia-n
confuse	huo\; to confuse: jia\/olua\n
contracted	cu\
couch	shui\yi-; ta\; chua/ng
crime of treason	pa\nguo/zui\
cushion	dia\nzi\/; dia\n; yi-n
day dream	ba/iri\zuo\me\ng
deficiency	kui-; que-; chu\; bu\zu/
desolate	hua-nglia/ng; wa\/ng
digital subscriber line	shu\zi\di\nggo\uxia\nlu\
dismal	a\nda\n
dock	ma\/to/u; wu\
drift	pia-oyo/u; to drift: pia-o; <electrical pia-oyi/
earnestly wish for	ba-bu\de/
eldest	bo/zho\ngshu-ji\; zui\nia/nzha\/ng
encode	ne\ima\/
equally	xia-ngde\/ng
exalt	zhuo/she-ng
express one's feelings	bia\/oqi/ng
falsify	cua\nga\/i
feel vexed	fa/n
film series	xi\lie\pia-n
fit snugly	tie-
focus on	zhu\/mu\
foresight	xia-njia\nzhi-mi/ng
freeze	<loan, wage, price do\ngjie/; bi-ngdo\ng; to freeze: do\ng
gall	da\/nzhi-; the gall: da\/n
get away from	tuo-
glen	xia/gu\/
good-for-nothing	bu\lia/ngbu\yo\/u
greenhouse	we-nshi\
hairpin	cha-i; za-n
hatred	cho/u
heavenly body	xi-ngqiu/
high-handed	ga-oya-; ba\da\o
honor and glory	gua-ngro/ng
hundred or so	ba\/ishi/; ba\/ie/rba-shi/
imbue	jia-n
in former days	wa\/ngri\
income	sho-uru\
information age	xi\nxi/shi/da\i
integrated wiring	zo-nghe/bu\xia\n
investment	to/uzi-
jerk	du\n
keyboard	jia\npa/n
land in	<a predicament xia\nru\
lax	co-ng; xie\
lesser	bi\/jia\/osha\/o
line	we/n; xia\nlu\; to line: na\; che\n
loiter	la\ngda\ng
low key	di-dia\o
mainstay industry	zhi-zhu\cha\/nye\
make way	<for smth ra\nglu\
marten	dia-o
meeting place	hui\cha\/ng
military camp	bi-ngyi/ng
modal particle	yu\/qi\zhu\ci/
motherboard	mu\/ba\/n; zhu\/ji-ba\/n
music CD	yi-nyue\gua-ngdie/
neck	bo/; bo/zi; ge\/ng; ji\/ng; ji\/ngxia\ng; li\/ng
nick	que-ko\/u
not an example to be followed	bu\zu/we/ixu\n
not to matter	wu/suo\/we\i
obligation	yi\wu\
old things	la\/ota\o
open up	pi\; pi\; che\/ng; zha-ng; to open up: zha\/nshi\; tuo\; <for development ka-ifa-
other person	ta-re/n; bie/re/n
ow	a-iyo-u
part	bu\fen; dua\nluo\; fe\n; xia\ng; zu\/che/ng; go\ujia\n; bu\; gu\/; to part: pi\/; fe-nka-i; <of a whole bu\fen
peaceful	a-nni/ng; a-nshe-ng; ka-ng; mi\/; ni/ng; ni/ng; ni\ng; a-nji\ng; a-nmi\; she-ng; ta\i; ya-n; a-ndu\n
perplex	ku\nra\/o
pile up	luo\
pleasant	yu/kua\i
popsicle	bi-nggu\ner
predicate	<grammatical we\iyu\/; bi-nci/; shu\yu\/
printer	da\/yi\nji-; yi\nbia\/oji-; yi\nshua-zhe\/
prospective	yo\/uxi-wa\ng
purely	chu/ncui\
quote	yi\/nyo\ng; yi\/nzhe\ng; yua/nyi\/n; zha-iyi\/n
rayl	<acoustical unit rui\
red clouds	xia/
relief	jie\/tuo-
requite	ba\oda/
revision	jia\odi\ng
rocks in shallow water	qi\
runaway	ta/owa/ngzhe\/; pa\/oda\o
save	jie/yue-; she\/ng; to save: jiu\; jiu\yua/n; zhe\/ngjiu\; chu\/; <money she\/ng
sculling oar	lu\/
selfish departmentalism	be\/nwe\izhu\/yi\
set store by	ba\/ogui\
shin	wa\ixia\/otui\/
sick man	bi\ngfu-
sixth month	liu\yue\
small of the back	ya-obu\
sole	we/iyi-; da-nyi-; du/; da-n
spare parts	be\ijia\n
spoils	za-ng
standard	<official bia-ozhu\/n; be\/nwe\i; bia-ozhu\/ngui-ge/; gui-fa\n; gui-ge/; gui\/fa\n
step over	kua\yue\
stream	xi-liu/; kua\i
substitute for	ti\
support level	zhi-chi/lu
symposium	ta\/olu\nhui\
take up in both hands	po/u
telemetry	ya/oce\
thaw	jie\/do\ng
thousand	qia-n; qia-n
to the extent that	she\nhuo\
tractor	tuo-yi\ji-
trench	ha/o; qu/go-u; ha/o
turtle	bie-; ha\/igui-
underneath	za\ixia\mia\n; xia\
unresigned	bu\si\/xi-n
utter sad calls	be-imi/ng
vessels	chua/nzhi-
vote in favor	za\nto/ng
waterproof	bu\to\ushui\/; fa/ngshui\/
whence	he/chu\/; he/yi\/
will do	xi/ng
wooden figures buried with the dead	yo\/ng
wrong side	be\imia\n
Apple computer	pi/ngguo\/dia\nna\/o
Chinese chess game	yi\
Holland	he/la/n; he/la/n
My God	a-iya-
Thailand	ta\i; ta\iguo/
abstract	cho-uxia\ng; da\ya\o
add	fu\; jia-; tia-n; <in speaking ha/ishuo-
agony	fa/nna\/o
aloud	ga-oshe-ng
annihilated	fu\mo\
approve	za\nche/ng; za\nto/ng; re\nzhe\ng; to approve: pi-zhu\/n
as it turns out	qia\ha\/o
atheism	wu/she/nlu\n
backboard	la/nba\/n
basic concept	ji-be\/nga\inia\n
be due to	chu-yu/
be part of	shu\/yu/
become aggravated	bia\nbe/njia-li\
beyond the reach of one's power	bia-ncha/ngmo\ji/
blockade	fe-ngsuo\/
bottleneck	pi/ngji\/ng
bright	bi\; bi\/ng; cha\/ng; gua-nglia\ng; ha\o; ha\o; ha\o; hui-; hui-; jia\/o; ji\/ng; jio\/ng; jua-n; shuo\; shuo\; xi-; yi\; ca\n; ca\n; co-ngmi/ng; ge\/ng; la\/ng; lia\ng; mi/ng; gua-ng; ji\/n; ba/i; shua\/ng; <future gua-ngmi/ng
burial clothes	sho\uyi-
camera obscura	a\nxia-ng
carrot	ho/ngluo/bo/
centiliter	li/she-ng
chemise	nuyo\ngne\iyi-
claim	xua-nche-ng; to claim: she-ngche-ng
coal mining	ca\/ime/i
commander-in-chief	shua\i
composed	su\; zhe\n; a-nxia/ng; a-nni/ng
conscience	lia/ngxi-n
conventional weapon	cha/nggui-wu\/qi\
courage	da\/nzi; yo\/ngqi\; da\/n
cross-beam	li\/n
cut the throat	ji\/ng
deal with	yi\ngfu; da\i; chu\/; to deal with: chu\/li\/; co/ngshi\; ba\n
deliberately	cu/nxi-n; gu\yi\
details of a case	a\nqi\/ng
diode	e\rji/gua\/n
dispute	bia\n; bia\nbo/; jiu-fe-n; zhe-ngcha\/o; zhe-ngdua-n; zhe-ngzhi/; to dispute: jiu-fe-n
dominant	yo\ushi\; <position lo/ngto/ula\/oda\
drown	ni\; shi\/ni\si\/; ya-n
eat	ca-n; chi-; chi-; da\n; ru/
electronic document	dia\nzi\/we/njia\n
endless	wu/qio/ng; ma\ncha/ng
escalator	zi\do\nglo/uti-
excess	guo\lia\ng
extort	qia-o; bi-
fare	yu\nfe\i
fengshui	fe-ngshui\/
financial resources	ca/ili\; ca/iyua/n
flap	pa-ida
following	xia\lie\; the following: xia\mian
former	yua/n; yua/nxia-n; da-ngshi/de; guo\qu; jiu\; xi-; yua/nla/i; the former: qia/nzhe\/
fright	ji-ngha\i
gardens	yua/nli/n
get someone annoyed	qi\re/n
glove	sho\/uta\o
government owned	guo/yo\/u
grizzled	ba-nba/i; <hair hua-ba/i
hall	da\ti-ng
have altogether	go\ngyo\/u
helm	duo\
hinge	shu-
horn wine container	go-ng
husband's mother	po/po
impassable	bu\ke\/yu/yue\
in order to avoid	yi\/mia\/n
incredible	na/nyi\/zhi\xi\n
inheritance	ji\che/ngqua/n
interactive TV	hu\do\ngdia\nshi\
iron caldron	ge/
journal	ri\zhi\
kindly	<person ci/xia/ng; he/a\/i; ke\/qi-n
large ancient bell	duo/
leadership conference	sho\/una\/ohui\yi\
level off	cha\/n
liquid water	<as opposed to steam or ice, e.g. ye\ta\ishui\/
long-range raid	be-nxi/
luck	xi\ngyu\n; <good or bad yu\nqi
make a definite diagnosis	que\zhe\/n
mamma	ma-; ma-
matchmaker	shuo\; me/i
memorial hall	ji\nia\ngua\/n
mill	lo/ng
molar	ba\/nya/
mourn	be-ida\o; da\o; ti/
my presumptuous request	bu\qi/ngzhi-qi\/ng
neighboring countries	li/nguo/
no discord	bu\da\/bu\xia-ngshi/
not care	bu\za\ihu-
notebook	bi\/ji\be\/n; bu\zi; be\/nzi
obtain permission	huo\zhu\/n
on one's desk	a\nto/u
opposite side	dui\fa-ng
out of tune	shi-tia/o
paddy	da\o
party in power	zhi/zhe\ngda\/ng
peel off	bo-luo\; bo-li/
personal	qi-nshe-n; re/nshe-n; si-; ge\re/n; be\/nre/n
pirate	ha\/ida\o; pia-oqie\
plowing and weeding	ge-ngyu/n
portfolio	qie\
prepare body for coffin	lia\n
problem is	ku\nna/nza\iyu/
proud of oneself	de/yi\
pussy	ma-o
radioactive	fa\ngshe\
real	shi/; zhe-n; zhe-nzhe\ng; zhe-nshi/; xia\nshi/; que\; que\shi/
reference	ca-nka\/oshu-; ca-nka\/o
remember	yi\; ji\yi\; to remember: ji\; ji\de; ji\zhu
resident	cha/ngzhu\; ju-mi/n
rice flour	mi\/fe\/n
root cause of trouble	bi\ngge-n
ruthenium	lia\/o
scaly dragon	jia-o
search out	ta\n
semi-skilled	ba\nsho/ulia\n
several days	ji\/tia-n
shoemaker	pi/xie/jia\ng
sigh mournfully	be-ita\n
skin ulcer	chua-ng
smell	qi\; <bad cho\u
something to strive for	be\nto/uer
spearhead	ma/oto/u
spread like wildfire	bu\ji\nge/rzo\/u
start an undeclared war	bu\xua-ne/rzha\n
stiffen	bia\nyi\ng
string of mus. instr.	xia/n; xia/n
suckle	bu\/ru\/
surmise	ca-iduo/; ca-ice\
taboo	we/ia\i; to taboo: hui\
tangle	cha/n
temperance	jie/zhi\
there is no harm in	bu\fa-ng
through	ge\n; to-ngguo\
tomb	kua\ng; li/ngmu\; mu\; fe/nmu\; li/ng
traitor	be\ipa\nzhe\/; gui\/; jia-n; pa\nni\zhe-; pa\ntu/
triple	sa-nbe\i
twist silk	lu/n
uneasiness	bu/zi\za\i
untrammelled	be-nfa\ng
value	jia\zhi/; tui-cho/ng; zhi/; jia\; ba\/ogui\; to value: sha\ng; <something zu-nzho\ng
victorious	she\ng; she\ng; ka\/i
wait upon	shi\ho\u
weak point	que-dia\/n; ruo\dia\/n
whipworm	bia-ncho/ng
wine or liquor with sediment	la/o
work together	he/zuo\
years old	sui\
Bahamas	ba-ha-ma\/
Christian era	go-ngyua/n
Internet phone	wa\/ngji\dia\nhua\
O'clock	shi/
Vatican	fa\ndi\ga-ng
access server	ji\njie-fu/wu\
administer	gua\/nxia/; zhi\li\/; cuo\; to administer: gua\/nli\/
air vice marshal	sha\ojia\ng
amaze	ji-ngqi/
antecedent	xia-nli\
ardor	re\che/n
ask a favor of	me\/i
attack or criticism	ma/oto/u
bait	e\/r
bathroom tissue	we\ishe-ngzhi\/
be good for	li\yu/
be shocked	chi-ji-ng
bedtime	jiu\qi\/nshi/jia-n
billow	da\la\ng
blunder	da\cuo\; cuo\
boxing	qua/nji-
brink	me/i; bia-nyua/n
bust	ba\nshe-nxia\ng
canal	yu\nhe/; ca/o
carved stone	shi/ke\
chaff	bi\/ka-ng
child	e/rto/ng; ha/i; ha/izi; jia\/n; nu/; xia\/oha/i
classify	lu/n; bie/
coding	bia-nma\/
committee member	we\/iyua/n
computer-aided design and drawing	dia\nna\/ofu\/zhu\she\ji\yu\/hui\tu/
consolidate	go\/nggu\; qiu/
cookbook	shi/pu\/
covert	bia\nxia\ng; yi\/nbi\; to covert: zhua\/nhua\n
crumbs	xie\
daily necessities	bu\bo/shu-su\
deceive	gua\; ho\/ng; kua/ng; ma/n; me-ng; me/ng; wa\/ng; to deceive: qi-pia\n; hu\nong; qi-
demolish	<using explosives ba\opo\
development	do\ngta\i; fa-zha\/n
director-general	<of a company, etc zo\/ngca/i
distinctly	bi-zhe-n
doorway	me/nko\/u
due consideration	she\/nyi\
economic security	ji-ngji\a-nqua/n
eloquence	bia\nca/i; ko\/uca/i
engulf	xi/jua\/n; to engulf: tu-nshu\
ethnic Chinese	hua/yi\
executive	zhu\/gua\/nre/nyua/n
eye socket	kua\ng
fat person	pa\ngzi
few days ago	ri\qia/n
fine-toothed comb	bi\
fleet	jia\ndui\; <of ships chua/ndui\
football fan	zu/qiu/mi/
forty-eighth part of a tael	zhu-
frosty	shua-ngba/i
gather together	jiu-; to gather together: jiu-ji/
ginkgo	ba/iguo\/
go for	co/ngshi\
gramophone	liu/she-ngji-
grovel	ba\ida\/o
handwritten copy	cha-obe\/n
have on one's shoulder	be-ifu\
herald the break of day	ba\oxia\/o
hockey	qu\/gu\nqiu/
hostile	hua/idi/yi\
hysterical	kua/nglua\n
implement	gua\nche\; qi\ju\; shi/xi/ng; zhi/xi/ng; to implement: luo\shi/; shi/shi-
in the end	da\odi\/; zho-ngyu/
indirect	jia\njie-
inner	ne\iza\ide; ne\i
internal strucutre	ne\ibu\jie/go\u
isinglass	bia\ojia-o
jujube tree	za\/oshu\
knight	jue/shi\
large water lizard	tuo/
learn of	de/zhi-
