Buddhist monk's robe	jia-; sha-
cut down	sha-n; to cut down: xue-jia\/n; suo-dua\/n; ca/ijia\/n
days of someone's life	ri\zi
defy	ka\ng
despondent	a\osa-ng
dim	a\nda\n; yi-na\n
disparage	bia\/n
dog	li/; go\/u; qua\/n
drive a car	ka-iche-
earthen pot	ge/
electrical	dia\n
encryption	jia-mi\
erasable	ke\/ca-xie\/
example sentance	li\ju\; li\yu\/
extend across	ge\n
famous person	we/nre/n
fellow	to/ngba\n
finals	<of a competition jue/sa\i
fixed	gu\di\ng
folds or pleats in a garment	bi\
forget it	ba\xiu-
frequently asked questions	cha/ngwe\nwe\nti/
gamma	jia-
get into	<armor hua\n
global	hua/nqiu/
goral	ba-nli/ng
grievance	ku\/ji\ng; bu\pi/ng
half of smth	ba\nbia-n
have a great time	ka-ixi-n
hedge thorn	zhi\/
highly capable	ji-ngga\n
hoop	gu-; qua-nzhua\ngwu\; be-ngzi; la/nqua-n
hunting	lie\
immersion	ji\nmo\
in large numbers	che/ngqu/njie/dui\
incorporate	ba-okuo\
infringe upon a trade mark	ga\i
intelligentsia	zhi-shife\nzi\/
invoke	zhu\
job occupation	zhi/ye\
kill time	lia/o
landscape	sha-nshui\/; fe-ngji\/ng
layout	bu\ju/
let matter drop	ba\xiu-
lingering fear	yu/ji\
long distance network	cha/ngtu/wa\/nglu\
lower garments	qia-n
major general	sha\ojia\ng
male and female	ci/xio/ng
mass	dui-
member of congress	guo/hui\yi\yua/n
military naval vessel	ju-njia\n
modern music	xia\nda\iyi-nyue\
mottled bamboo	ba-nzhu/
mustache	zi-; hu/; xu-
nefarious	xie/
nine	jiu\/; <fraudproof jiu\/
not be accustomed to eating smth	chi-bufu/
not up to much	bu\ze\/nmeya\ng
observatory	tia-nwe/nta/i
oldtime	gu\/la/i
operating environment	ca-ozuo\hua/nji\ng; yu\nsua\nhua/nji\ng; zuo\ye\hua/nji\ng
ought to	yi-ngga-i; yi-ngda-ng; de\/i
oysters	ba\ng
participle	fe-nci/
pearl	zhe-nzhu-
person	re/nshi\; yua/n; do-ngxi; re/n; <who does smth zhe\/
pincers	qia/n; qia/n
plectrum	bo-zi
porcupine	ha/ozhu-
pregnancy	she-n
private key	<in encryption si-re/nya\oshi
protective measure	yu\fa/ngcuo\shi-
purpose	mu\di\
radar	le/ida/
reactionary	fa\/ndo\ngfe-nzi\/
reduce	ji\/nsuo-; suo-xia\/o; ca/i; to reduce: ca/ijia\/n; jia\ngdi-; xue-
rely heavily upon	yi\/zho\ng
resemble	xia\ng; to resemble: xia-ngsi\; si\; le\i
rhetoric	xiu-ci/
roll sulphur	ba\ngliu/
rush	kua\/i; cua-n; lu/; su\xi/ng; to rush: chua\/ng; cu\; qia\/ng; cho-ng; ga\/n; <of water tua-n; <to do smth urgent qia\/ngxia\/n
say the least	zhi\sha\/o
sea-going vessels	bo/
selling price	sho\ujia\
settler	di\ngju-zhe\/
shipping by sea	ha\/iyu\n
side by side	bi\ngpa/i; bi\ngjia-n
skein	liu\/
small size	xia\/oxi/ng
solo	<in singing du/cha\ng; du/zo\u; to solo: du/cha\ng
speak	chu-ko\/u; shuo-; ta/n; ya/n; yue-
spore	ba-o; ba-ozi\/
staple	di\ngshu-zhe-n; mi/ngcha\/n
stern	chi\; ya/n
stretcher	da-njia\chua/ng
succeed	che\ng; to succeed: che/nggo-ng
supreme court	zui\ga-ofa\/yua\n
syrup	ta/ngjia-ng; yi/
talk in sleep	yi\
telephone signal	dia\nhua\xi\nha\o
themselves	ta-me/nzi\ji\/
three dimensional	sa-nwe/i
toe	jia\/ozhi\/; zhi\/
traditional Chinese calendar	no/ngli\
trickle	di-liu/; <of water cha/n
twenty billion	lia\/ngba\/iyi\
underworld	di\yu\
unsettled	cho-ng
vagina	yi-nhu\
via	ji-ngyo/u
voyage	ba-nqi-
waver	do\ngya/o; ya/oba\/i; cho/u
whether or not	shi\bu\shi\
win	bo/de/; yi/ngde/; to win: yi/ng; bo/
wool	ya/ngma/o
yardstick	chi\/du\
Asia-Pacific region	ya\zho-uta\ipi/ngya/ngdi\qu-; ya\zho-uyu\/ta\ipi/ngya/ngdi\qu-
Chinese medicine	<traditional zho-ngya\o
I think	ko\/ngpa\
New York Times	<newspaper niu\/yue-shi/ba\o
Turkey	tu\/e\/rqi/
academic world	jia\oyu\jie\
address	di\zhi\/; to address: jia\/nghua\; che-ng
aide	fu\/zhu\
alter	ge\ngga\/i; bia\nge-ng; xiu-ga\/i; to alter: ga\/i; ga\/ibia\n; ga\/iza\o
annoyance	fa/nna\/o
arc	hu/
as solid as rock	a-nru/pa/nshi/
atomic energy	yua/nzi\/ne/ng
bacon	xu-nro\u
basket or hod used for earth	be\/n
be familiar with	re\nshi
be ready to risk one's life	<in fighting, work, etc. pi-nmi\ng
become more serious every day	yue\la/iyue\ya/nzho\ng
big and small	ju\xi\
bloody nose and a swollen face	bi/qi-nglia\/nzho\/ng
bound in a league	qua\/n
bring	da\i
bus	go-nggo\ngqi\che-; qi\che-
can be found everywhere	bi\/bi\/jie-shi\
carry on the back	tuo/; be-ifu\
cereals	lia/ngshi
chest	xio-ng; xio-ngbu\; xio-ngta/ng; xia-ng; xio-ng; <of body ta/ng; <thorax pu/
clap of thunder	li\; pi-; ti/ng
cobblestone	e/lua\/nshi/
commentary	pi/ngzhu\; pi/nglu\n
comprise	ba-okuo\
conservation district	ba\/ohu\qu-
convex	gu\/
courtesy	li\/ma\o
crow	wu-; wu-ya-; ya-
cycle time	zho-usu\
debit card	zhua\/nzha\ngka\/
delineate	go-u; go-uhua\
detonate	ba\ozha\
diplomatic mission	shi\/gua\/n
dissent	yi\yi\
done by	<a certain date we/iqi-
drunkard	jiu\/gui\/
ebony	wu-mu\
elevation	bia-oga-o; <above sea level ba/ha\/i
enforce	qia/ngzhi\
establish	che/ngli\; dia\ndi\ng; to establish: jia\n; chua\ngjia\n; she\li\
excise	zha-ichu/
extravagance	hui-huo\wu/du\
farsighted	rui\
fervor	re\che/ng
find it too late	bu\ji/
flatfish	bi\/mu\yu/
food and clothing	chi-chua-n; bu\bo/shu-su\
forsake	be\ipa\n
from head to foot	co/ngto/uda\ojia\/o
gasoline	qi\yo/u
gifts	go\ng
go about	ba\n
gradual change	jia\nbia\n
ground	di\; di\mia\n
hand down	chui/; <to next generation yi/liu/
have high hopes	ji\yu/
helpless	wu/zhu\
historical relic	we/nwu\
horse's mane	zo-ng
hydrogen	qi-ng; qi-ng; <gas qi-ngqi\
imperial	lua/n; di\guo/; lo/ng; yu\
in progress	ji\nxi/ng
indentured labourer	ba-oshe-ngo-ng
injure	le\/i; sha-ng; sha-ngha\i; da\/sha-ng; gui\; pi\/; su\/n; ca/n; to injure: su\/nhua\i; su\/nsha-ng; su\/nha\i; ba\o
interface	dua-nko\/u; jie-ko\/u; jie\mia\n; jie\mia\n
irregular teeth	yu\/
judge	fa\/gua-n; pa\ndi\ng; fa\/gua-n; ca/ipa\n; to judge: pa\n; fa\/gua-n; dua\n; pi/ng
kitchen	chu/; chu/fa/ng; pa/o
large military unit	bi-ngtua/n
leaflet	chua/nda-n
libation cup	za\n
listener	qi-ngti-ngzhe\/
look afar from a high place	lia\o
